City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Olinda,BR,-8.0089,-34.8553,83.93,54,20,12.66,few clouds
327,Lata,PT,40.1629,-8.3327,63.91,98,100,4.41,overcast clouds
328,Klaksvik,FO,62.2266,-6.589,46.45,93,100,19.71,overcast clouds
329,Canmore,CA,51.0834,-115.3521,26.08,74,14,5.75,few clouds
330,Gavle,SE,60.6745,17.1417,48.51,88,72,6.62,broken clouds
331,Palaikastron,GR,35.2,26.25,64.74,70,98,5.75,overcast clouds
332,Minab,IR,27.1467,57.0801,83.01,31,0,2.8,clear sky
333,Pochutla,MX,15.7432,-96.4661,87.35,56,82,6.4,broken clouds
334,Lithakia,GR,37.7167,20.8333,61.97,59,17,10.83,few clouds
335,Labuhan,ID,-6.8844,112.2051,81.07,79,99,1.92,overcast clouds
336,San Patricio,US,28.017,-97.5169,81.05,18,0,3.18,clear sky
337,Malindi,KE,-3.2175,40.1191,78.15,82,60,10.02,broken clouds
338,Volga,RU,57.9516,38.3879,45.3,94,42,7.96,scattered clouds
339,Lagoa,PT,39.05,-27.9833,70.16,90,100,23.76,overcast clouds
340,Murgab,TM,37.4966,61.9714,57.07,47,40,13.8,scattered clouds
341,Gat,IL,31.61,34.7642,71.73,62,44,5.03,scattered clouds
342,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,94.17,39,72,5.44,broken clouds
343,Altay,CN,47.8667,88.1167,37.11,66,86,5.91,overcast clouds
