City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Prachuap Khiri Khan,TH,2021-10-27 02:54:19,12.2167,99.75,80.91,70,86,7.63
270,La Ronge,CA,2021-10-27 02:54:19,55.1001,-105.2842,43.02,93,90,10.36
271,Poum,NC,2021-10-27 02:54:19,-20.2333,164.0167,75.81,71,100,6.38
272,Kununurra,AU,2021-10-27 02:51:34,-15.7667,128.7333,98.58,36,12,6.91
273,Kumluca,TR,2021-10-27 02:54:20,36.3703,30.2869,64.56,55,17,5.66
274,Yelan-Koleno,RU,2021-10-27 02:54:20,51.1523,41.2306,33.17,50,97,9.4
275,Tezu,IN,2021-10-27 02:54:20,27.9167,96.1667,79.0,41,0,2.35
276,Hualmay,PE,2021-10-27 02:54:21,-11.0964,-77.6139,62.83,84,99,11.12
277,Leh,IN,2021-10-27 02:54:21,34.1667,77.5833,27.45,69,98,1.25
278,Belmonte,BR,2021-10-27 02:52:12,-15.8631,-38.8828,77.5,84,3,7.61
279,Polignano A Mare,IT,2021-10-27 02:54:22,40.9959,17.2159,61.68,74,82,10.11
280,Sioux Lookout,CA,2021-10-27 02:54:22,50.1001,-91.917,39.58,75,75,9.22
281,Guaruja,BR,2021-10-27 02:54:22,-23.9931,-46.2564,75.16,26,99,2.1
282,Los Llanos De Aridane,ES,2021-10-27 02:54:23,28.6585,-17.9182,64.15,76,90,1.01
283,Roebourne,AU,2021-10-27 02:54:23,-20.7833,117.1333,87.21,19,0,8.25
284,Ojinaga,MX,2021-10-27 02:54:23,29.5667,-104.4167,83.35,23,1,26.46
285,Beinamar,TD,2021-10-27 02:54:24,8.6698,15.3813,72.36,88,100,3.2
286,Thinadhoo,MV,2021-10-27 02:54:24,0.5333,72.9333,83.97,71,90,14.38
287,Gigmoto,PH,2021-10-27 02:54:24,13.7796,124.39,81.64,83,98,10.42
288,Dogondoutchi,NE,2021-10-27 02:54:25,13.6393,4.0287,84.0,27,94,5.37
289,Dhidhdhoo,MV,2021-10-27 02:54:25,6.8833,73.1,81.55,76,100,8.32
290,Port Hardy,CA,2021-10-27 02:49:27,50.6996,-127.4199,48.2,100,90,6.91
291,Rongcheng,CN,2021-10-27 02:54:25,30.634,117.8517,69.58,60,34,5.55
292,Hamilton,US,2021-10-27 02:54:26,39.1834,-84.5333,46.78,85,0,4.74
